I,J,X,Y,Zmin,Zbank,slope1,int1,slope2,int2
0,0,0.000000,500.000000,100.000000,100.000000,-1.000000,0.000000,1.000000,0.000000
0,1,0.000000,1500.000000,100.000000,100.000000,-1.000000,0.000000,1.000000,0.000000
0,2,0.000000,2500.000000,100.000000,100.000000,-1.000000,0.000000,1.000000,0.000000
0,3,0.000000,3500.000000,100.000000,100.000000,-1.000000,0.000000,1.000000,0.000000
0,4,0.000000,4500.000000,100.000000,100.000000,-1.000000,0.000000,1.000000,0.000000
0,5,0.000000,5500.000000,100.000000,100.000000,-1.000000,0.000000,1.000000,0.000000
0,6,0.000000,6500.000000,100.000000,100.000000,-1.000000,0.000000,1.000000,0.000000
0,7,0.000000,7500.000000,100.000000,100.000000,-1.000000,0.000000,1.000000,0.000000
0,8,0.000000,8500.000000,100.000000,100.000000,-1.000000,0.000000,1.000000,0.000000
0,9,0.000000,9500.000000,100.000000,100.000000,-1.000000,0.000000,1.000000,0.000000
1,0,1000.000000,500.000000,99.000000,99.000000,-1.000000,0.000000,1.000000,0.000000
1,1,1000.000000,1500.000000,99.000000,99.000000,-1.000000,0.000000,1.000000,0.000000
1,2,1000.000000,2500.000000,99.000000,99.000000,-1.000000,0.000000,1.000000,0.000000
1,3,1000.000000,3500.000000,99.000000,99.000000,-1.000000,0.000000,1.000000,0.000000
1,4,1000.000000,4500.000000,99.000000,99.000000,-1.000000,0.000000,1.000000,0.000000
1,5,1000.000000,5500.000000,99.000000,99.000000,-1.000000,0.000000,1.000000,0.000000
1,6,1000.000000,6500.000000,99.000000,99.000000,-1.000000,0.000000,1.000000,0.000000
1,7,1000.000000,7500.000000,99.000000,99.000000,-1.000000,0.000000,1.000000,0.000000
1,8,1000.000000,8500.000000,99.000000,99.000000,-1.000000,0.000000,1.000000,0.000000
1,9,1000.000000,9500.000000,99.000000,99.000000,-1.000000,0.000000,1.000000,0.000000
2,0,2000.000000,500.000000,98.000000,98.000000,-1.000000,0.000000,1.000000,0.000000
2,1,2000.000000,1500.000000,98.000000,98.000000,-1.000000,0.000000,1.000000,0.000000
2,2,2000.000000,2500.000000,98.000000,98.000000,-1.000000,0.000000,1.000000,0.000000
2,3,2000.000000,3500.000000,98.000000,98.000000,-1.000000,0.000000,1.000000,0.000000
2,4,2000.000000,4500.000000,98.000000,98.000000,-1.000000,0.000000,1.000000,0.000000
2,5,2000.000000,5500.000000,98.000000,98.000000,-1.000000,0.000000,1.000000,0.000000
2,6,2000.000000,6500.000000,98.000000,98.000000,-1.000000,0.000000,1.000000,0.000000
2,7,2000.000000,7500.000000,98.000000,98.000000,-1.000000,0.000000,1.000000,0.000000
2,8,2000.000000,8500.000000,98.000000,98.000000,-1.000000,0.000000,1.000000,0.000000
2,9,2000.000000,9500.000000,98.000000,98.000000,-1.000000,0.000000,1.000000,0.000000
3,0,3000.000000,500.000000,97.000000,97.000000,-1.000000,0.000000,1.000000,0.000000
3,1,3000.000000,1500.000000,97.000000,97.000000,-1.000000,0.000000,1.000000,0.000000
3,2,3000.000000,2500.000000,97.000000,97.000000,-1.000000,0.000000,1.000000,0.000000
3,3,3000.000000,3500.000000,97.000000,97.000000,-1.000000,0.000000,1.000000,0.000000
3,4,3000.000000,4500.000000,97.000000,97.000000,-1.000000,0.000000,1.000000,0.000000
3,5,3000.000000,5500.000000,97.000000,97.000000,-1.000000,0.000000,1.000000,0.000000
3,6,3000.000000,6500.000000,97.000000,97.000000,-1.000000,0.000000,1.000000,0.000000
3,7,3000.000000,7500.000000,97.000000,97.000000,-1.000000,0.000000,1.000000,0.000000
3,8,3000.000000,8500.000000,97.000000,97.000000,-1.000000,0.000000,1.000000,0.000000
3,9,3000.000000,9500.000000,97.000000,97.000000,-1.000000,0.000000,1.000000,0.000000
4,0,4000.000000,500.000000,96.000000,96.000000,-1.000000,0.000000,1.000000,0.000000
4,1,4000.000000,1500.000000,96.000000,96.000000,-1.000000,0.000000,1.000000,0.000000
4,2,4000.000000,2500.000000,96.000000,96.000000,-1.000000,0.000000,1.000000,0.000000
4,3,4000.000000,3500.000000,96.000000,96.000000,-1.000000,0.000000,1.000000,0.000000
4,4,4000.000000,4500.000000,96.000000,96.000000,-1.000000,0.000000,1.000000,0.000000
4,5,4000.000000,5500.000000,96.000000,96.000000,-1.000000,0.000000,1.000000,0.000000
4,6,4000.000000,6500.000000,96.000000,96.000000,-1.000000,0.000000,1.000000,0.000000
4,7,4000.000000,7500.000000,96.000000,96.000000,-1.000000,0.000000,1.000000,0.000000
4,8,4000.000000,8500.000000,96.000000,96.000000,-1.000000,0.000000,1.000000,0.000000
4,9,4000.000000,9500.000000,96.000000,96.000000,-1.000000,0.000000,1.000000,0.000000
5,0,5000.000000,500.000000,95.000000,95.000000,-1.000000,0.000000,1.000000,0.000000
5,1,5000.000000,1500.000000,95.000000,95.000000,-1.000000,0.000000,1.000000,0.000000
5,2,5000.000000,2500.000000,95.000000,95.000000,-1.000000,0.000000,1.000000,0.000000
5,3,5000.000000,3500.000000,95.000000,95.000000,-1.000000,0.000000,1.000000,0.000000
