i,j,X,Y,Val,Dir
56,0,56000.000000,500.000000,0.037706,90.000000
56,1,56000.000000,1500.000000,0.037706,90.000000
56,2,56000.000000,2500.000000,0.037706,90.000000
56,3,56000.000000,3500.000000,0.037706,90.000000
56,4,56000.000000,4500.000000,0.037706,90.000000
56,5,56000.000000,5500.000000,0.037706,90.000000
56,6,56000.000000,6500.000000,0.037706,90.000000
56,7,56000.000000,7500.000000,0.037706,90.000000
56,8,56000.000000,8500.000000,0.037706,90.000000
56,9,56000.000000,9500.000000,0.037706,90.000000
90,0,90000.000000,500.000000,0.450839,90.000000
90,1,90000.000000,1500.000000,0.450839,90.000000
90,2,90000.000000,2500.000000,0.450839,90.000000
90,3,90000.000000,3500.000000,0.450839,90.000000
90,4,90000.000000,4500.000000,0.450839,90.000000
90,5,90000.000000,5500.000000,0.450839,90.000000
90,6,90000.000000,6500.000000,0.450839,90.000000
90,7,90000.000000,7500.000000,0.450839,90.000000
90,8,90000.000000,8500.000000,0.450839,90.000000
90,9,90000.000000,9500.000000,0.450839,90.000000
97,0,97000.000000,500.000000,1.778129,90.000000
97,1,97000.000000,1500.000000,1.778129,90.000000
97,2,97000.000000,2500.000000,1.778129,90.000000
97,3,97000.000000,3500.000000,1.778129,90.000000
97,4,97000.000000,4500.000000,1.778129,90.000000
97,5,97000.000000,5500.000000,1.778129,90.000000
97,6,97000.000000,6500.000000,1.778129,90.000000
97,7,97000.000000,7500.000000,1.778129,90.000000
97,8,97000.000000,8500.000000,1.778129,90.000000
97,9,97000.000000,9500.000000,1.778129,90.000000
98,0,98000.000000,500.000000,2.957429,90.000000
98,1,98000.000000,1500.000000,2.957429,90.000000
98,2,98000.000000,2500.000000,2.957429,90.000000
98,3,98000.000000,3500.000000,2.957429,90.000000
98,4,98000.000000,4500.000000,2.957429,90.000000
98,5,98000.000000,5500.000000,2.957429,90.000000
98,6,98000.000000,6500.000000,2.957429,90.000000
98,7,98000.000000,7500.000000,2.957429,90.000000
98,8,98000.000000,8500.000000,2.957429,90.000000
98,9,98000.000000,9500.000000,2.957429,90.000000
99,0,99000.000000,500.000000,0.198992,270.000000
99,1,99000.000000,1500.000000,0.198992,270.000000
99,2,99000.000000,2500.000000,0.198992,270.000000
99,3,99000.000000,3500.000000,0.198992,270.000000
99,4,99000.000000,4500.000000,0.198992,270.000000
99,5,99000.000000,5500.000000,0.198992,270.000000
99,6,99000.000000,6500.000000,0.198992,270.000000
99,7,99000.000000,7500.000000,0.198992,270.000000
99,8,99000.000000,8500.000000,0.198992,270.000000
99,9,99000.000000,9500.000000,0.198992,270.000000
