X,Y,i,j,WL
500.000000,500.000000,0,0,99.097198
500.000000,1500.000000,0,1,99.097198
500.000000,2500.000000,0,2,99.097198
500.000000,3500.000000,0,3,99.097198
500.000000,4500.000000,0,4,99.097198
500.000000,5500.000000,0,5,99.097198
500.000000,6500.000000,0,6,99.097198
500.000000,7500.000000,0,7,99.097198
500.000000,8500.000000,0,8,99.097198
500.000000,9500.000000,0,9,99.097198
1500.000000,500.000000,1,0,98.087097
1500.000000,1500.000000,1,1,98.087097
1500.000000,2500.000000,1,2,98.087097
1500.000000,3500.000000,1,3,98.087097
1500.000000,4500.000000,1,4,98.087097
1500.000000,5500.000000,1,5,98.087097
1500.000000,6500.000000,1,6,98.087097
1500.000000,7500.000000,1,7,98.087097
1500.000000,8500.000000,1,8,98.087097
1500.000000,9500.000000,1,9,98.087097
2500.000000,500.000000,2,0,97.086304
2500.000000,1500.000000,2,1,97.086304
2500.000000,2500.000000,2,2,97.086304
2500.000000,3500.000000,2,3,97.086304
2500.000000,4500.000000,2,4,97.086304
2500.000000,5500.000000,2,5,97.086304
2500.000000,6500.000000,2,6,97.086304
2500.000000,7500.000000,2,7,97.086304
2500.000000,8500.000000,2,8,97.086304
2500.000000,9500.000000,2,9,97.086304
3500.000000,500.000000,3,0,96.085526
3500.000000,1500.000000,3,1,96.085526
3500.000000,2500.000000,3,2,96.085526
3500.000000,3500.000000,3,3,96.085526
3500.000000,4500.000000,3,4,96.085526
3500.000000,5500.000000,3,5,96.085526
3500.000000,6500.000000,3,6,96.085526
3500.000000,7500.000000,3,7,96.085526
3500.000000,8500.000000,3,8,96.085526
3500.000000,9500.000000,3,9,96.085526
4500.000000,500.000000,4,0,95.084755
4500.000000,1500.000000,4,1,95.084755
4500.000000,2500.000000,4,2,95.084755
4500.000000,3500.000000,4,3,95.084755
4500.000000,4500.000000,4,4,95.084755
4500.000000,5500.000000,4,5,95.084755
4500.000000,6500.000000,4,6,95.084755
4500.000000,7500.000000,4,7,95.084755
4500.000000,8500.000000,4,8,95.084755
4500.000000,9500.000000,4,9,95.084755
5500.000000,500.000000,5,0,94.083992
5500.000000,1500.000000,5,1,94.083992
5500.000000,2500.000000,5,2,94.083992
5500.000000,3500.000000,5,3,94.083992
5500.000000,4500.000000,5,4,94.083992
5500.000000,5500.000000,5,5,94.083992
5500.000000,6500.000000,5,6,94.083992
5500.000000,7500.000000,5,7,94.083992
5500.000000,8500.000000,5,8,94.083992
5500.000000,9500.000000,5,9,94.083992
6500.000000,500.000000,6,0,93.083244
6500.000000,1500.000000,6,1,93.083244
6500.000000,2500.000000,6,2,93.083244
6500.000000,3500.000000,6,3,93.083244
6500.000000,4500.000000,6,4,93.083244
6500.000000,5500.000000,6,5,93.083244
6500.000000,6500.000000,6,6,93.083244
6500.000000,7500.000000,6,7,93.083244
6500.000000,8500.000000,6,8,93.083244
6500.000000,9500.000000,6,9,93.083244
7500.000000,500.000000,7,0,92.082558
7500.000000,1500.000000,7,1,92.082558
7500.000000,2500.000000,7,2,92.082558
7500.000000,3500.000000,7,3,92.082558
7500.000000,4500.000000,7,4,92.082558
7500.000000,5500.000000,7,5,92.082558
7500.000000,6500.000000,7,6,92.082558
7500.000000,7500.000000,7,7,92.082558
7500.000000,8500.000000,7,8,92.082558
7500.000000,9500.000000,7,9,92.082558
8500.000000,500.000000,8,0,91.081924
8500.000000,1500.000000,8,1,91.081924
8500.000000,2500.000000,8,2,91.081924
8500.000000,3500.000000,8,3,91.081924
8500.000000,4500.000000,8,4,91.081924
8500.000000,5500.000000,8,5,91.081924
8500.000000,6500.000000,8,6,91.081924
8500.000000,7500.000000,8,7,91.081924
8500.000000,8500.000000,8,8,91.081924
8500.000000,9500.000000,8,9,91.081924
9500.000000,500.000000,9,0,90.081337
9500.000000,1500.000000,9,1,90.081337
9500.000000,2500.000000,9,2,90.081337
9500.000000,3500.000000,9,3,90.081337
9500.000000,4500.000000,9,4,90.081337
9500.000000,5500.000000,9,5,90.081337
9500.000000,6500.000000,9,6,90.081337
9500.000000,7500.000000,9,7,90.081337
9500.000000,8500.000000,9,8,90.081337
9500.000000,9500.000000,9,9,90.081337
10500.000000,500.000000,10,0,89.080780
10500.000000,1500.000000,10,1,89.080780
10500.000000,2500.000000,10,2,89.080780
10500.000000,3500.000000,10,3,89.080780
10500.000000,4500.000000,10,4,89.080780
10500.000000,5500.000000,10,5,89.080780
10500.000000,6500.000000,10,6,89.080780
10500.000000,7500.000000,10,7,89.080780
10500.000000,8500.000000,10,8,89.080780
10500.000000,9500.000000,10,9,89.080780
11500.000000,500.000000,11,0,88.074974
11500.000000,1500.000000,11,1,88.074974
11500.000000,2500.000000,11,2,88.074974
11500.000000,3500.000000,11,3,88.074974
11500.000000,4500.000000,11,4,88.074974
11500.000000,5500.000000,11,5,88.074974
11500.000000,6500.000000,11,6,88.074974
