X,Y,i,j,WL
500.000000,500.000000,0,0,100.047600
500.000000,1500.000000,0,1,100.513481
500.000000,2500.000000,0,2,101.319603
500.000000,3500.000000,0,3,102.336143
500.000000,4500.000000,0,4,103.645447
500.000000,5500.000000,0,5,106.964661
500.000000,6500.000000,0,6,103.645447
500.000000,7500.000000,0,7,102.349693
500.000000,8500.000000,0,8,101.411430
500.000000,9500.000000,0,9,100.988449
1500.000000,500.000000,1,0,99.862480
1500.000000,1500.000000,1,1,100.241119
1500.000000,2500.000000,1,2,100.947914
1500.000000,3500.000000,1,3,101.724342
1500.000000,4500.000000,1,4,102.423058
1500.000000,5500.000000,1,5,102.776489
1500.000000,6500.000000,1,6,102.428299
1500.000000,7500.000000,1,7,101.753647
1500.000000,8500.000000,1,8,101.094788
1500.000000,9500.000000,1,9,100.796265
2500.000000,500.000000,2,0,99.503731
2500.000000,1500.000000,2,1,99.738213
2500.000000,2500.000000,2,2,100.228836
2500.000000,3500.000000,2,3,100.712967
2500.000000,4500.000000,2,4,101.027016
2500.000000,5500.000000,2,5,101.089561
2500.000000,6500.000000,2,6,101.040665
2500.000000,7500.000000,2,7,100.777794
2500.000000,8500.000000,2,8,100.454674
2500.000000,9500.000000,2,9,100.315277
3500.000000,500.000000,3,0,98.951927
3500.000000,1500.000000,3,1,99.066154
3500.000000,2500.000000,3,2,99.340530
3500.000000,3500.000000,3,3,99.606789
3500.000000,4500.000000,3,4,99.753197
3500.000000,5500.000000,3,5,99.780647
3500.000000,6500.000000,3,6,99.776634
3500.000000,7500.000000,3,7,99.709229
3500.000000,8500.000000,3,8,99.609619
3500.000000,9500.000000,3,9,99.569260
4500.000000,500.000000,4,0,98.232506
4500.000000,1500.000000,4,1,98.277237
4500.000000,2500.000000,4,2,98.400993
4500.000000,3500.000000,4,3,98.532883
4500.000000,4500.000000,4,4,98.612457
4500.000000,5500.000000,4,5,98.640099
4500.000000,6500.000000,4,6,98.643547
4500.000000,7500.000000,4,7,98.641708
4500.000000,8500.000000,4,8,98.633652
4500.000000,9500.000000,4,9,98.630020
5500.000000,500.000000,5,0,97.391472
5500.000000,1500.000000,5,1,97.405930
5500.000000,2500.000000,5,2,97.451210
5500.000000,3500.000000,5,3,97.508636
5500.000000,4500.000000,5,4,97.552826
5500.000000,5500.000000,5,5,97.578148
5500.000000,6500.000000,5,6,97.590538
5500.000000,7500.000000,5,7,97.595909
5500.000000,8500.000000,5,8,97.597672
5500.000000,9500.000000,5,9,97.598045
6500.000000,500.000000,6,0,96.473404
6500.000000,1500.000000,6,1,96.477333
6500.000000,2500.000000,6,2,96.490845
6500.000000,3500.000000,6,3,96.511467
6500.000000,4500.000000,6,4,96.531601
6500.000000,5500.000000,6,5,96.546707
6500.000000,6500.000000,6,6,96.556305
6500.000000,7500.000000,6,7,96.561539
6500.000000,8500.000000,6,8,96.563805
6500.000000,9500.000000,6,9,96.564362
7500.000000,500.000000,7,0,95.510948
7500.000000,1500.000000,7,1,95.511818
7500.000000,2500.000000,7,2,95.515007
7500.000000,3500.000000,7,3,95.520607
7500.000000,4500.000000,7,4,95.527184
7500.000000,5500.000000,7,5,95.533089
7500.000000,6500.000000,7,6,95.537407
7500.000000,7500.000000,7,7,95.540009
7500.000000,8500.000000,7,8,95.541199
7500.000000,9500.000000,7,9,95.541496
8500.000000,500.000000,8,0,94.524719
8500.000000,1500.000000,8,1,94.524849
8500.000000,2500.000000,8,2,94.525337
8500.000000,3500.000000,8,3,94.526260
8500.000000,4500.000000,8,4,94.527489
8500.000000,5500.000000,8,5,94.528732
8500.000000,6500.000000,8,6,94.529724
8500.000000,7500.000000,8,7,94.530365
8500.000000,8500.000000,8,8,94.530663
8500.000000,9500.000000,8,9,94.530739
9500.000000,500.000000,9,0,93.527702
9500.000000,1500.000000,9,1,93.527710
9500.000000,2500.000000,9,2,93.527740
9500.000000,3500.000000,9,3,93.527786
9500.000000,4500.000000,9,4,93.527855
9500.000000,5500.000000,9,5,93.527939
9500.000000,6500.000000,9,6,93.528000
9500.000000,7500.000000,9,7,93.528038
9500.000000,8500.000000,9,8,93.528061
9500.000000,9500.000000,9,9,93.528069
10500.000000,500.000000,10,0,92.527885
10500.000000,1500.000000,10,1,92.527893
10500.000000,2500.000000,10,2,92.527893
10500.000000,3500.000000,10,3,92.527893
10500.000000,4500.000000,10,4,92.527893
10500.000000,5500.000000,10,5,92.527893
10500.000000,6500.000000,10,6,92.527893
10500.000000,7500.000000,10,7,92.527893
10500.000000,8500.000000,10,8,92.527893
10500.000000,9500.000000,10,9,92.527885
11500.000000,500.000000,11,0,91.527893
11500.000000,1500.000000,11,1,91.527893
11500.000000,2500.000000,11,2,91.527893
11500.000000,3500.000000,11,3,91.527901
