I,J,X,Y,zMin,zMax,vip1,vip2,vip3
0,0,500.000000,500.000000,99.000000,104.000000,0.500000,4.499999,4.499999
0,1,500.000000,1500.000000,99.000000,104.000000,0.500000,4.499999,4.499999
0,2,500.000000,2500.000000,99.000000,104.000000,0.500000,4.499999,4.499999
0,3,500.000000,3500.000000,99.000000,104.000000,0.500000,4.499999,4.499999
0,4,500.000000,4500.000000,99.000000,104.000000,0.500000,4.499999,4.499999
0,5,500.000000,5500.000000,99.000000,104.000000,0.500000,4.499999,4.499999
0,6,500.000000,6500.000000,99.000000,104.000000,0.500000,4.499999,4.499999
0,7,500.000000,7500.000000,99.000000,104.000000,0.500000,4.499999,4.499999
0,8,500.000000,8500.000000,99.000000,104.000000,0.500000,4.499999,4.499999
0,9,500.000000,9500.000000,99.000000,104.000000,0.500000,4.499999,4.499999
1,0,1500.000000,500.000000,98.000000,103.000000,0.500000,4.499999,4.499999
1,1,1500.000000,1500.000000,98.000000,103.000000,0.500000,4.499999,4.499999
1,2,1500.000000,2500.000000,98.000000,103.000000,0.500000,4.499999,4.499999
1,3,1500.000000,3500.000000,98.000000,103.000000,0.500000,4.499999,4.499999
1,4,1500.000000,4500.000000,98.000000,103.000000,0.500000,4.499999,4.499999
1,5,1500.000000,5500.000000,98.000000,103.000000,0.500000,4.499999,4.499999
1,6,1500.000000,6500.000000,98.000000,103.000000,0.500000,4.499999,4.499999
1,7,1500.000000,7500.000000,98.000000,103.000000,0.500000,4.499999,4.499999
1,8,1500.000000,8500.000000,98.000000,103.000000,0.500000,4.499999,4.499999
1,9,1500.000000,9500.000000,98.000000,103.000000,0.500000,4.499999,4.499999
2,0,2500.000000,500.000000,97.000000,102.000000,0.500000,4.499999,4.499999
2,1,2500.000000,1500.000000,97.000000,102.000000,0.500000,4.499999,4.499999
2,2,2500.000000,2500.000000,97.000000,102.000000,0.500000,4.499999,4.499999
2,3,2500.000000,3500.000000,97.000000,102.000000,0.500000,4.499999,4.499999
2,4,2500.000000,4500.000000,97.000000,102.000000,0.500000,4.499999,4.499999
2,5,2500.000000,5500.000000,97.000000,102.000000,0.500000,4.499999,4.499999
2,6,2500.000000,6500.000000,97.000000,102.000000,0.500000,4.499999,4.499999
2,7,2500.000000,7500.000000,97.000000,102.000000,0.500000,4.499999,4.499999
2,8,2500.000000,8500.000000,97.000000,102.000000,0.500000,4.499999,4.499999
2,9,2500.000000,9500.000000,97.000000,102.000000,0.500000,4.499999,4.499999
3,0,3500.000000,500.000000,96.000000,101.000000,0.500000,4.499999,4.499999
3,1,3500.000000,1500.000000,96.000000,101.000000,0.500000,4.499999,4.499999
3,2,3500.000000,2500.000000,96.000000,101.000000,0.500000,4.499999,4.499999
3,3,3500.000000,3500.000000,96.000000,101.000000,0.500000,4.499999,4.499999
3,4,3500.000000,4500.000000,96.000000,101.000000,0.500000,4.499999,4.499999
3,5,3500.000000,5500.000000,96.000000,101.000000,0.500000,4.499999,4.499999
3,6,3500.000000,6500.000000,96.000000,101.000000,0.500000,4.499999,4.499999
3,7,3500.000000,7500.000000,96.000000,101.000000,0.500000,4.499999,4.499999
3,8,3500.000000,8500.000000,96.000000,101.000000,0.500000,4.499999,4.499999
3,9,3500.000000,9500.000000,96.000000,101.000000,0.500000,4.499999,4.499999
4,0,4500.000000,500.000000,95.000000,100.000000,0.500000,4.499999,4.499999
4,1,4500.000000,1500.000000,95.000000,100.000000,0.500000,4.499999,4.499999
4,2,4500.000000,2500.000000,95.000000,100.000000,0.500000,4.499999,4.499999
4,3,4500.000000,3500.000000,95.000000,100.000000,0.500000,4.499999,4.499999
4,4,4500.000000,4500.000000,95.000000,100.000000,0.500000,4.499999,4.499999
4,5,4500.000000,5500.000000,95.000000,100.000000,0.500000,4.499999,4.499999
4,6,4500.000000,6500.000000,95.000000,100.000000,0.500000,4.499999,4.499999
4,7,4500.000000,7500.000000,95.000000,100.000000,0.500000,4.499999,4.499999
4,8,4500.000000,8500.000000,95.000000,100.000000,0.500000,4.499999,4.499999
4,9,4500.000000,9500.000000,95.000000,100.000000,0.500000,4.499999,4.499999
5,0,5500.000000,500.000000,94.000000,99.000000,0.500000,4.499999,4.499999
5,1,5500.000000,1500.000000,94.000000,99.000000,0.500000,4.499999,4.499999
5,2,5500.000000,2500.000000,94.000000,99.000000,0.500000,4.499999,4.499999
5,3,5500.000000,3500.000000,94.000000,99.000000,0.500000,4.499999,4.499999
5,4,5500.000000,4500.000000,94.000000,99.000000,0.500000,4.499999,4.499999
5,5,5500.000000,5500.000000,94.000000,99.000000,0.500000,4.499999,4.499999
5,6,5500.000000,6500.000000,94.000000,99.000000,0.500000,4.499999,4.499999
5,7,5500.000000,7500.000000,94.000000,99.000000,0.500000,4.499999,4.499999
5,8,5500.000000,8500.000000,94.000000,99.000000,0.500000,4.499999,4.499999
5,9,5500.000000,9500.000000,94.000000,99.000000,0.500000,4.499999,4.499999
6,0,6500.000000,500.000000,93.000000,98.000000,0.500000,4.499999,4.499999
6,1,6500.000000,1500.000000,93.000000,98.000000,0.500000,4.499999,4.499999
6,2,6500.000000,2500.000000,93.000000,98.000000,0.500000,4.499999,4.499999
6,3,6500.000000,3500.000000,93.000000,98.000000,0.500000,4.499999,4.499999
6,4,6500.000000,4500.000000,93.000000,98.000000,0.500000,4.499999,4.499999
6,5,6500.000000,5500.000000,93.000000,98.000000,0.500000,4.499999,4.499999
6,6,6500.000000,6500.000000,93.000000,98.000000,0.500000,4.499999,4.499999
6,7,6500.000000,7500.000000,93.000000,98.000000,0.500000,4.499999,4.499999
